colName,description,min,max
loanDefault,Payment default in the first EMI on due ,0.0,1.0
age,Age of customer on the disbursal date,19.0,118.0
disbursedAmount,Amount of Loan disbursed,13320.0,990572.0
assetCost,Cost of the Asset,37000.0,1628992.0
itv,Loan to Value of the asset,10.03,95.0
mobilenoAvlFlag,if Mobile no. was shared by the customer then flagged as 1,1.0,1.0
aadharFlag,if aadhar was shared by the customer then flagged as 1,0.0,1.0
panFlag,if pan was shared by the customer then flagged as 1,0.0,1.0
voteridFlag,if voter  was shared by the customer then flagged as 1,0.0,1.0
drivingFlag,if DL was shared by the customer then flagged as 1,0.0,1.0
passportFlag,if passport was shared by the customer then flagged as 1,0.0,1.0
performCnsScore,Bureau Score,0.0,890.0
priNoOfAccts,count of total loans taken by the customer at the time of disbursement,0.0,453.0
priActiveAccts,count of active loans taken by the customer at the time of disbursement,0.0,144.0
priOverdueAccts,count of default accounts at the time of disbursement,0.0,25.0
priCurrentBalance,total Principal outstanding amount of the active loans at the time of disbursement,-6678296.0,96524920.0
priSanctionedAmount,total amount that was sanctioned for all the loans at the time of disbursement,0.0,1000000000.0
priDisbursedAmount,total amount that was disbursed for all the loans at the time of disbursement,0.0,1000000000.0
secNoOfAccts,count of total loans taken by the customer at the time of disbursement,0.0,52.0
secActiveAccts,count of active loans taken by the customer at the time of disbursement,0.0,36.0
secOverdueAccts,count of default accounts at the time of disbursement,0.0,8.0
secCurrentBalance,total Principal outstanding amount of the active loans at the time of disbursement,-574647.0,36032852.0
secSanctionedAmount,total amount that was sanctioned for all the loans at the time of disbursement,0.0,30000000.0
secDisbursedAmount,total amount that was disbursed for all the loans at the time of disbursement,0.0,30000000.0
primaryInstalAmt,EMI Amount of the primary loan,0.0,25642806.0
secInstalAmt,EMI Amount of the secondary loan,0.0,4170901.0
newAcctsInLastSixMonths,New loans taken by the customer in last 6 months before the disbursment,0.0,35.0
delinquentAcctsInLastSixMonths,Loans defaulted in the last 6 months,0.0,20.0
averageAcctAge,Average loan tenure,0.0,30.9
creditHistoryLength,Time since first loan,0.0,39.0
noOfInquiries,Enquries done by the customer for loans,0.0,36.0
salaried,if customer is paid by salary,0.0,1.0
selfEmployed,if customer is self-employed,0.0,1.0
unknownEmploy,if customer salary status is unknown,0.0,1.0
